date,opening,high,low,closing,volume,turnover
20050104,994.76,994.76,980.65,982.79,7412869,4431975936.00
20050105,981.57,997.32,979.87,992.56,7119109,4529206784.00
20050106,993.33,993.78,980.33,983.17,6288028,3921015040.00
20050107,983.04,995.71,979.81,983.95,7298694,4737467904.00
20050110,983.76,993.95,979.78,993.87,5791697,3762930944.00
20050111,994.18,999.55,991.09,997.13,5849079,3704076032.00
20050112,996.65,996.97,989.25,996.74,5014525,3093297920.00
20050113,996.07,999.47,992.69,996.87,6044065,3842171904.00
20050114,996.61,1006.46,987.23,988.30,7297842,4162919936.00
20050117,979.11,981.52,965.07,967.45,7288188,4249807104.00
20050118,967.37,974.87,960.29,974.68,7311847,4117944064.00
20050119,974.33,974.33,965.25,967.21,6338090,3427951104.00
20050120,963.21,963.21,952.23,956.24,7727106,4399349248.00
20050121,954.46,984.27,943.43,982.60,14450059,8152086016.00
20050124,1001.85,1001.85,986.23,998.13,14359461,8360160256.00
20050125,995.63,997.95,985.23,997.77,9862529,6157022208.00
20050126,995.78,999.47,988.47,989.92,7663290,4719438848.00
20050127,987.34,987.70,973.77,974.63,6945365,4094396928.00
20050128,974.63,975.62,965.20,969.20,5748807,3280950016.00
20050131,965.78,965.78,953.14,954.87,6788706,3863571968.00
20050201,953.33,965.47,952.74,955.95,7433066,4275706112.00
20050202,956.70,1006.93,956.70,1006.91,17057338,10202902528.00
20050203,1005.56,1014.18,992.15,993.21,16974540,10057310208.00
20050204,992.25,1021.02,989.93,1016.85,15736215,9549871104.00
20050216,1023.32,1033.24,1018.48,1023.58,12131293,7438168064.00
20050217,1024.43,1024.43,1010.47,1020.60,8968297,5513061888.00
20050218,1020.12,1021.19,1005.63,1006.05,8139939,4817732096.00
20050221,1006.69,1025.65,1006.69,1025.63,9886094,6052395008.00
20050222,1026.83,1048.67,1024.52,1046.74,17937840,10922774528.00
20050223,1046.81,1049.60,1036.62,1043.93,18696928,11231938560.00
20050224,1042.25,1045.95,1034.73,1045.46,14681788,8993752064.00
20050225,1046.27,1059.48,1045.98,1046.76,18170004,11489958912.00
20050228,1046.20,1048.27,1035.03,1039.98,12971046,8190099968.00
20050301,1039.35,1042.73,1031.16,1035.93,9962090,6288790016.00
20050302,1036.36,1045.76,1021.00,1021.32,14225135,8971308032.00
20050303,1019.87,1028.40,1014.75,1027.71,9203085,5582812160.00
20050304,1027.92,1031.84,1022.17,1023.66,8173641,5383865856.00
20050307,1024.48,1031.34,1024.48,1029.87,7932949,5316471808.00
20050308,1033.78,1049.28,1032.85,1048.98,14295793,9851274240.00
20050309,1051.26,1054.64,1041.98,1046.54,15327488,9877621760.00
20050310,1046.68,1046.68,1019.63,1022.41,13295953,8380547072.00
20050311,1021.08,1028.11,1016.93,1027.42,11476381,7654557184.00
20050314,1027.17,1041.56,1014.92,1031.02,14466088,10229429248.00
20050315,1030.85,1030.93,1011.64,1013.52,12007493,8091209216.00
20050316,1011.85,1012.19,995.96,1003.06,10622782,7153743872.00
20050317,1001.96,1004.82,992.12,992.86,9969011,6535059968.00
20050318,991.88,996.39,975.70,978.66,9652059,6314991104.00
20050321,977.29,983.17,973.00,981.89,7252565,4594520064.00
20050322,981.70,982.13,959.56,964.02,11375717,6955307008.00
20050323,962.81,975.36,955.99,959.01,10930053,7092055040.00
20050324,957.43,965.06,948.53,964.80,9260714,6446642176.00
20050325,964.24,966.97,959.05,962.95,7107322,4258127104.00
20050328,961.65,961.65,948.80,960.69,6669246,4141656064.00
20050329,960.41,968.11,954.74,955.19,7577379,4842148864.00
20050330,952.71,952.71,936.37,937.03,8950163,5459378176.00
20050331,934.84,942.36,928.33,942.20,7859445,4555320832.00
20050401,941.43,989.90,937.55,978.14,16347504,10109403136.00
20050404,968.49,974.06,956.12,962.16,11435093,7296500224.00
20050405,960.54,967.74,953.58,955.59,9534536,6069514240.00
20050406,955.59,977.85,948.94,973.66,14282421,9727653888.00
20050407,975.97,1000.26,974.30,984.73,20754212,13260560384.00
20050408,984.66,1003.70,979.53,1003.45,14762526,9151349760.00
20050411,1003.88,1008.73,992.77,995.42,15936066,10436232192.00
20050412,993.71,993.71,978.20,978.70,10226193,6479563264.00
20050413,987.95,1006.50,987.95,1000.90,16071687,10029601792.00
20050414,1004.64,1006.42,985.58,986.97,12945710,7813424640.00
20050415,982.61,982.61,971.93,974.08,10408955,6541675520.00
20050418,970.91,970.91,958.65,963.77,8598400,5329138688.00
20050419,962.92,968.87,957.91,965.89,9212623,5768907776.00
20050420,964.15,964.15,946.20,950.87,8850705,5300003840.00
20050421,948.86,955.55,938.59,943.98,9946145,6140645888.00
20050422,942.91,947.91,934.96,939.10,10691884,6373550592.00
20050425,935.99,935.99,920.16,930.07,11470478,6667302912.00
20050426,928.43,939.70,924.66,937.08,11690471,7029372928.00
20050427,938.57,938.91,925.90,926.60,10780611,6432845824.00
20050428,923.53,945.50,914.83,942.07,14343486,8315813888.00
20050429,940.81,942.45,929.81,932.40,11235419,6853192192.00
20050509,934.65,937.39,909.17,909.17,8529115,4889696256.00
20050510,905.54,913.39,892.31,913.08,10494331,5960910848.00
20050511,911.84,917.22,900.44,901.85,9042047,5128333312.00
20050512,899.97,900.06,883.51,885.82,10228720,6107326976.00
20050513,883.51,898.51,875.58,887.54,11244906,6228419584.00
20050516,885.39,885.39,869.33,875.27,8224288,4630088704.00
20050517,873.08,888.28,868.21,881.46,8772273,4635198464.00
20050518,881.14,890.40,871.82,883.20,7878610,4615409152.00
20050519,882.84,888.02,871.29,884.17,8149583,4263472640.00
20050520,883.51,891.02,879.18,882.76,7226676,3835476224.00
20050523,880.28,880.28,862.10,863.34,7279795,3725790976.00
20050524,861.20,871.77,855.59,868.46,9206929,4777971712.00
20050525,867.66,876.30,861.66,868.45,7238556,3742173184.00
20050526,867.76,872.84,854.96,857.33,6622786,3470051072.00
20050527,855.59,864.96,848.40,849.51,7749983,4240678656.00
20050530,847.63,858.46,842.10,855.61,6971583,3712116224.00
20050531,856.56,863.20,853.29,855.95,7047821,3601006592.00
20050601,855.21,857.66,836.04,837.53,7902302,4274074880.00
20050602,835.47,835.49,812.99,818.38,9508657,5220786176.00
20050603,816.55,823.86,807.97,818.03,7936056,4164754432.00
20050606,816.73,839.15,807.78,839.00,9009185,4685006336.00
20050607,841.58,858.09,835.18,837.28,13067068,7248577536.00
20050608,848.54,908.83,844.47,905.77,32907839,17414543360.00
20050609,907.57,925.36,895.04,912.60,33141840,17782386688.00
20050610,911.94,911.94,889.10,894.56,22391502,12006754304.00
20050613,895.00,900.18,877.69,892.96,15628002,7944060416.00
20050614,895.39,905.41,882.86,883.54,14343570,7692070400.00
20050615,881.21,881.25,865.14,866.83,11454056,6272310272.00
20050616,866.66,879.49,861.83,879.24,11049685,6115269120.00
20050617,883.60,888.08,876.04,880.34,14963009,8285455872.00
20050620,881.62,906.48,872.56,906.26,18992082,10290889728.00
20050621,906.31,906.31,894.39,896.17,12774784,6890936832.00
20050622,894.77,901.24,891.93,900.65,10478134,5882401280.00
20050623,900.06,904.90,892.83,893.57,9509308,5465028608.00
20050624,892.06,898.67,888.40,898.30,8918739,4732186112.00
20050627,904.21,920.65,904.21,916.04,16545402,8903493632.00
20050628,913.48,913.48,901.21,903.72,10402219,5536098304.00
20050629,906.75,907.57,898.08,898.90,10806746,5751997952.00
20050630,897.10,897.10,876.88,878.69,10855472,5597946368.00
20050701,875.93,875.93,858.37,859.49,10094596,5086726656.00
20050704,855.32,856.10,842.81,855.93,8840276,4026099456.00
20050705,853.68,856.74,845.36,849.68,7992688,4529674240.00
20050706,850.25,854.45,838.61,842.56,6898313,3627265536.00
20050707,841.75,848.02,839.28,844.73,5962464,2901826560.00
20050708,842.62,842.62,827.23,829.49,7221000,3447787008.00
20050711,837.86,850.66,822.52,824.10,8439005,4092653568.00
20050712,821.91,854.29,818.86,851.82,14989870,7519245312.00
20050713,850.47,851.95,841.86,846.23,9398842,4674024448.00
20050714,844.94,856.09,843.18,849.59,9361968,4742557184.00
20050715,849.87,854.60,837.78,841.00,8889563,4203939584.00
20050718,839.22,840.01,829.68,832.99,8500006,3767754752.00
20050719,831.50,840.14,829.28,835.61,7891817,3622924800.00
20050720,835.30,844.71,832.14,842.64,8526473,3953440000.00
20050721,842.75,843.99,835.76,843.99,8366100,4118496768.00
20050722,847.54,867.16,842.99,859.69,21630976,10210013184.00
20050725,858.33,860.95,854.28,856.86,11816079,5762384896.00
20050726,856.19,880.03,856.19,876.48,21826775,10513581056.00
20050727,876.94,894.03,876.04,894.01,20409537,9688109056.00
20050728,893.88,901.00,888.50,890.89,20622527,10326374400.00
20050729,889.41,892.29,883.38,888.16,13397405,6409061888.00
20050801,887.72,897.28,885.85,891.61,11808309,5451576832.00
20050802,892.13,903.65,888.40,903.60,14292547,6441958912.00
20050803,905.18,919.28,903.76,909.57,25786298,11911777280.00
20050804,907.42,909.83,901.63,904.15,14519255,6682690048.00
20050805,904.04,923.81,903.94,923.80,19123764,9585685504.00
20050808,926.57,933.15,923.57,927.47,21608944,11135756288.00
20050809,926.97,933.39,919.11,933.09,19532907,9704541184.00
20050810,933.26,940.37,926.28,940.37,21515762,10214863872.00
20050811,940.78,953.99,939.39,953.99,27073666,14042061824.00
20050812,954.72,959.27,933.98,938.32,29168144,14457552896.00
20050815,937.71,954.50,936.11,954.50,20430813,10503460864.00
20050816,955.27,959.34,939.92,945.06,23861817,12606080000.00
20050817,943.41,953.34,930.33,953.01,21457768,10910460928.00
20050818,954.16,956.84,919.12,920.67,31855326,15916424192.00
20050819,918.09,927.32,910.08,923.04,22242679,10881501184.00
20050822,923.11,933.35,919.22,931.67,16031009,7745835008.00
20050823,931.81,931.81,915.03,923.41,15406488,7508824576.00
20050824,923.56,935.23,923.56,930.65,15959747,7736512512.00
20050825,930.97,933.20,920.61,930.12,16292057,7604864512.00
20050826,930.25,930.33,921.84,928.26,15429803,7186198528.00
20050829,928.34,928.34,913.77,917.37,15462260,7137708032.00
20050830,916.09,920.21,912.84,914.88,12438170,5858436096.00
20050831,915.12,928.21,911.51,927.92,14623629,7034282496.00
20050901,928.52,944.95,926.06,944.56,22306383,10558678016.00
20050902,945.98,947.92,941.31,947.87,18614437,8864773120.00
20050905,949.08,952.98,944.63,952.72,17843318,8242226176.00
20050906,953.41,956.30,934.97,936.61,21222255,10583985152.00
20050907,934.99,952.90,932.65,952.76,19608465,9956808704.00
20050908,954.27,958.87,947.71,955.28,22424393,11753260032.00
20050909,955.11,959.90,946.02,949.07,16219310,7924193792.00
20050912,949.78,952.55,945.40,949.51,11672613,5610130432.00
20050913,949.58,963.92,948.13,963.77,16579430,7999031296.00
20050914,964.97,970.26,961.64,970.19,19958290,9942628352.00
20050915,970.58,970.96,965.66,969.60,16377679,8098160640.00
20050916,969.62,970.37,964.28,967.49,13978570,6989327360.00
20050919,967.44,971.99,964.26,971.14,14737421,7427481600.00
20050920,971.38,971.65,957.12,961.92,18636604,9189438464.00
20050921,961.37,961.37,943.82,944.41,18541895,8760459264.00
20050922,942.73,942.73,914.23,923.27,18115524,8625590272.00
20050923,921.51,927.42,914.81,916.15,11547643,5549881856.00
20050926,915.84,919.65,913.61,918.48,8836240,4398425600.00
20050927,918.87,921.13,903.39,904.21,11086056,5576097280.00
20050928,903.33,910.33,901.38,903.72,8850309,4331475968.00
20050929,904.28,915.97,904.28,915.97,11938977,5798238208.00
20050930,916.59,918.66,913.45,917.39,9001432,4529466880.00
20051010,917.21,917.21,906.88,907.32,7158450,3665624320.00
20051011,906.63,919.80,904.04,919.72,7758294,4032539392.00
20051012,920.45,926.09,917.38,923.48,12208851,6653231104.00
20051013,923.43,926.01,916.28,916.50,10828903,6021814272.00
20051014,916.34,917.89,902.81,904.83,10123940,5568049152.00
20051017,903.27,903.27,892.36,897.62,10552505,5516482048.00
20051018,897.37,903.00,895.62,902.37,11366316,5849997824.00
20051019,902.04,907.88,897.04,898.74,11033047,5474099200.00
20051020,898.89,900.13,889.57,899.91,12608724,6082545664.00
20051021,899.65,907.79,897.99,904.41,11364588,5645095936.00
20051024,905.13,908.45,900.23,906.65,9218982,4674775552.00
20051025,905.97,905.97,893.61,894.27,11213401,5687105024.00
20051026,892.62,892.62,873.90,875.82,12167122,5911800832.00
20051027,873.47,879.67,869.72,875.85,11908588,5881848320.00
20051028,875.86,880.21,859.69,867.73,11973375,5565266432.00
20051031,866.62,878.41,866.15,876.28,10443651,4954801664.00
20051101,875.96,875.96,862.69,872.86,10082745,4762514432.00
20051102,873.39,884.94,873.39,882.48,13104972,6115386880.00
20051103,882.19,885.68,872.11,874.58,12179182,5843191808.00
20051104,873.35,878.36,869.68,878.36,9567310,4570235904.00
20051107,877.62,877.62,870.08,877.28,7713259,3758294528.00
20051108,876.43,881.90,870.96,881.52,10128761,4617261056.00
20051109,881.51,884.94,878.68,879.25,11774405,5544780288.00
20051110,878.63,878.63,862.09,862.97,10853770,5071603712.00
20051111,861.22,867.33,857.79,864.79,9219719,4221479168.00
20051114,864.08,864.25,858.34,862.15,6271673,2924317696.00
20051115,862.07,867.46,853.86,856.64,8252477,4158739968.00
20051116,855.45,863.17,847.49,863.12,9066137,4185382400.00
20051117,863.08,865.79,859.00,862.66,8811636,4120494848.00
20051118,862.58,886.58,862.40,882.24,17597802,8353934336.00
20051121,882.79,886.11,880.30,883.87,10259963,4897254400.00
20051122,883.93,883.93,869.53,869.62,10597235,4500600832.00
20051123,868.01,876.82,866.19,876.23,9916919,3944070400.00
20051124,875.83,885.74,874.88,881.49,14629007,6102429696.00
20051125,881.25,884.16,877.26,884.10,13003545,5127946752.00
20051128,883.24,886.74,877.64,880.17,9739734,4239101696.00
20051129,879.25,879.25,870.56,871.31,8414993,3597357312.00
20051130,870.45,873.93,866.98,873.83,8040737,3676845312.00
20051201,873.47,877.31,870.70,873.07,7069234,3355703040.00
20051202,872.93,875.83,866.37,869.94,8492020,3937214208.00
20051205,869.43,869.43,858.86,859.61,10286896,4606547968.00
20051206,858.11,867.19,855.72,866.08,10303513,4737134592.00
20051207,865.72,874.00,865.02,873.84,9842954,4368779264.00
20051208,874.13,877.97,870.12,874.06,10259173,5018812928.00
20051209,873.69,887.57,871.26,887.36,12719525,5793086976.00
20051212,887.06,890.69,884.26,888.52,10699279,5082260480.00
20051213,888.00,889.22,880.74,889.10,10547237,5148218368.00
20051214,888.60,899.01,884.37,898.15,13868375,6757243392.00
20051215,898.38,904.01,895.17,896.43,16259781,7498123776.00
20051216,895.83,902.75,894.10,902.56,11452106,5418465792.00
20051219,902.05,904.47,898.79,902.91,9936326,4380561408.00
20051220,902.75,907.32,899.66,907.32,10294658,4665761792.00
20051221,907.05,910.93,902.11,903.14,10273975,4892865024.00
20051222,902.37,909.06,900.66,908.75,8947025,4441384448.00
20051223,908.96,915.89,908.51,915.89,11906998,5799046656.00
20051226,916.67,925.01,916.41,922.38,15342649,7501782528.00
20051227,922.44,922.44,916.01,919.36,12050358,5640640000.00
20051228,919.05,920.98,915.12,920.92,12131031,5731256320.00
20051229,921.14,932.03,921.14,932.03,17254958,8798040064.00
20051230,933.45,934.00,921.83,923.45,15600250,8517980160.00
20060104,926.56,941.43,926.41,941.43,21126899,11442608128.00
20060105,943.85,959.63,942.31,959.13,27311743,14693493760.00
20060106,961.91,975.63,956.04,970.03,30286368,16170989568.00
20060109,971.09,976.27,966.05,975.25,24329552,12626400256.00
20060110,975.28,978.28,964.43,978.15,22735302,12344023040.00
20060111,977.64,983.39,963.39,973.48,26524138,13488347136.00
20060112,972.39,984.08,968.54,983.72,21896680,11028175872.00
20060113,985.04,988.11,973.68,978.81,22281861,11215633408.00
20060116,977.89,977.89,960.88,961.44,20305215,9896152064.00
20060117,959.40,965.98,952.23,964.29,16037276,8076119040.00
20060118,964.16,984.67,963.08,983.62,20823518,10389841920.00
20060119,985.23,992.27,978.28,991.22,26455609,12714862592.00
20060120,991.57,994.50,987.06,993.34,26147062,12929890304.00
20060123,993.74,997.33,989.34,996.16,22546019,11459294208.00
20060124,997.79,1006.15,993.39,999.09,24197991,13914240000.00
20060125,998.83,1009.65,989.51,1009.60,21800758,11644197888.00
20060206,1013.42,1033.35,1012.81,1033.23,25038771,13466978304.00
20060207,1034.68,1038.50,1019.94,1029.94,32954787,17669257216.00
20060208,1028.44,1033.40,1022.94,1033.07,26986729,13692515328.00
20060209,1033.19,1033.19,1017.05,1019.60,23839601,12115066880.00
20060210,1019.42,1032.60,1018.48,1032.34,22024453,11411753984.00
20060213,1034.38,1034.64,1021.84,1031.61,22157298,11454695424.00
20060214,1032.65,1038.81,1030.46,1038.53,18556220,9730558976.00
20060215,1040.33,1048.34,1038.74,1041.66,24784628,12747811840.00
20060216,1041.67,1041.67,1019.21,1020.12,26159892,13407183872.00
20060217,1020.06,1028.57,1015.99,1020.37,21026875,10774127616.00
20060220,1020.74,1030.05,1020.02,1021.64,18818883,10303300608.00
20060221,1020.98,1038.94,1014.66,1038.82,23678039,13180216320.00
20060222,1039.65,1046.45,1036.38,1037.89,25380704,13435059200.00
20060223,1038.25,1041.59,1029.25,1041.37,19785037,10259756032.00
20060224,1041.97,1049.69,1041.97,1049.44,19676104,10286381056.00
20060227,1055.95,1057.22,1045.97,1047.84,22872099,12520438784.00
20060228,1046.71,1053.72,1033.66,1053.01,19353267,10427830272.00
20060301,1051.76,1057.69,1049.64,1056.62,19425730,10518419456.00
20060302,1055.86,1056.05,1034.68,1038.67,24877861,13748692992.00
20060303,1037.99,1043.42,1029.56,1041.68,21200539,11437142016.00
20060306,1041.66,1044.42,1036.11,1038.87,17870963,9091204096.00
20060307,1037.93,1037.98,1013.14,1014.97,19336516,9676509184.00
20060308,1012.58,1014.97,999.93,1009.27,17463055,8818082816.00
20060309,1006.97,1010.91,1002.20,1004.34,12735099,6640051200.00
20060310,1004.75,1011.76,1004.69,1008.90,11887983,6337828864.00
20060313,1008.80,1020.88,1008.51,1019.86,11765911,6101943296.00
20060314,1020.47,1021.65,1012.11,1018.27,11348030,5861599232.00
20060315,1018.15,1028.96,1017.08,1028.96,14842068,7822300672.00
20060316,1028.96,1029.81,1025.52,1027.62,14784339,7936359936.00
20060317,1027.64,1029.56,1021.08,1024.02,15001924,7945175040.00
20060320,1024.50,1037.91,1019.65,1037.66,15389912,8246315520.00
20060321,1037.95,1047.05,1036.23,1040.76,19077662,10271580160.00
20060322,1041.14,1047.94,1036.71,1047.67,18640575,10034541568.00
20060323,1047.35,1049.32,1042.82,1048.54,20467885,10825050112.00
