Month,"Monthly sunspot number, Zurich, 1749-1983",a1,a2
1749-01,58,58,58
1749-02,62.6,62.6,62.6
1749-03,70,70,70
1749-04,55.7,55.7,55.7
1749-05,85,85,85
1749-06,83.5,83.5,83.5
1749-07,94.8,94.8,94.8
1749-08,66.3,66.3,66.3
1749-09,75.9,75.9,75.9
1749-10,75.5,72.42222222,72.42222222
1749-11,158.6,74.36666667,74.02469136
1749-12,85.2,85.03333333,75.33209877
1750-01,73.3,86.72222222,77.00246914
1750-02,75.9,88.67777778,80.44938272
1750-03,89.2,87.66666667,80.85802469
1750-04,88.3,88.3,81.32098765
1750-05,90,87.57777778,80.59876543
1750-06,100,90.21111111,82.96296296
1750-07,85.4,92.88888889,84.55308642
1750-08,103,93.98888889,86.82716049
1750-09,91.2,87.81111111,89.00740741
1750-10,65.7,88.47777778,89.31604938
1750-11,63.3,87.63333333,89.51111111
1750-12,75.4,86.23333333,89.39506173
1751-01,70,84.7,89.23580247
1751-02,43.5,82.66666667,88.83580247
1751-03,45.3,77.5,88.29012346
1751-04,56.4,71.42222222,86.87777778
1751-05,60.7,68.2,84.49259259
1751-06,50.7,63.5,81.62716049
1751-07,66.3,59,78.92592593
1751-08,59.8,59.06666667,75.65061728
1751-09,23.5,58.67777778,72.47654321
1751-10,23.2,52.91111111,69.41481481
1751-11,28.5,47.71111111,65.88271605
1751-12,44,46.04444444,61.99876543
1752-01,35,45.9,58.5037037
1752-02,50,43.52222222,55.66790123
1752-03,71,42.33333333,52.92592593
1752-04,59.3,44.58888889,50.57407407
1752-05,59.7,43.81111111,48.97283951
1752-06,39.6,43.8,47.27777778
1752-07,78.4,45.58888889,45.62469136
1752-08,29.3,51.72222222,44.81111111
1752-09,27.1,51.81111111,45.25679012
1752-10,46.6,49.93333333,45.89753086
1752-11,37.6,51.22222222,46.34567901
1752-12,40,49.84444444,47.20123457
1753-01,44,46.4,48.03580247
1753-02,32,44.7,48.23703704
1753-03,45.7,41.62222222,48.33580247
1753-04,38,42.3,48.09382716
1753-05,36,37.81111111,47.72839506
1753-06,31.7,38.55555556,46.18271605
1753-07,22.2,39.06666667,44.70987654
1753-08,39,36.35555556,43.50246914
1753-09,28,36.51111111,41.85061728
1753-10,25,35.17777778,40.3691358
1753-11,20,33.06666667,39.12222222
1753-12,6.7,31.73333333,37.82962963
1754-01,0,27.4,36.7308642
1754-02,3,23.17777778,35.07530864
1754-03,1.7,19.51111111,33.44938272
1754-04,13.7,16.17777778,31.33333333
1754-05,20.7,15.23333333,28.79012346
1754-06,26.7,13.2,26.44320988
1754-07,18.8,13.05555556,23.85308642
1754-08,12.3,12.36666667,21.39506173
1754-09,8.2,11.51111111,19.09506173
1754-10,24.1,11.67777778,16.84814815
1754-11,13.2,14.35555556,15.10123457
1754-12,4.2,15.48888889,14.12098765
1755-01,10.2,15.76666667,13.67407407
1755-02,11.2,15.37777778,13.62839506
1755-03,6.8,14.32222222,13.64444444
1755-04,6.5,12.11111111,13.7691358
1755-05,0,10.74444444,13.66419753
1755-06,0,9.377777778,13.48395062
1755-07,8.6,8.466666667,13.24691358
1755-08,3.2,6.744444444,12.89012346
1755-09,17.8,5.633333333,12.04444444
1755-10,23.7,7.144444444,10.94938272
1755-11,6.8,8.644444444,9.991358025
1755-12,20,8.155555556,9.243209877
1756-01,12.5,9.622222222,8.558024691
1756-02,7.1,10.28888889,8.281481481
1756-03,5.4,11.07777778,8.230864198
1756-04,9.4,11.67777778,8.419753086
1756-05,12.5,11.76666667,8.77654321
1756-06,12.9,12.8,9.334567901
1756-07,3.6,12.25555556,10.1308642
1756-08,6.4,10.02222222,10.69876543
1756-09,11.8,9.977777778,10.85185185
1756-10,14.3,9.066666667,11.05432099
1756-11,17,9.266666667,10.99259259
1756-12,9.4,10.36666667,10.87901235
1757-01,14.1,10.81111111,10.8
1757-02,21.2,11.33333333,10.7037037
1757-03,26.2,12.3,10.65555556
1757-04,30,13.77777778,10.6
1757-05,38.1,16.71111111,10.7691358
1757-06,12.8,20.23333333,11.51234568
1757-07,25,20.34444444,12.65185185
1757-08,51.3,21.53333333,13.90493827
1757-09,39.7,25.34444444,15.26790123
1757-10,32.5,28.71111111,16.93209877
1757-11,64.7,30.75555556,18.92098765
